TrialNumber,n_back,Stimulus_Letter,Response_Time,Correct_Response,Response
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,L,0,3,NaN
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,A,838,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,E,374,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,E,405,4,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,E,39,4,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,O,190,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,A,272,4,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,A,486,4,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,H,165,3,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,J,310,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,D,443,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,B,184,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,L,95,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,V,86,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,V,92,4,4
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,N,42,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,V,94,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,L,378,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,A,162,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,E,444,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,J,310,3,3
1,One Back Task \n\n Press TARGET if current letter is same as the previous letter\n\n,S,442,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,P,0,3,NaN
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,F,0,3,NaN
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,Q,0,3,NaN
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,C,225,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,N,377,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,P,1182,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,C,1073,4,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,N,414,3,4
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,P,913,4,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,C,677,4,4
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,N,691,4,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,V,565,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,Q,762,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,M,499,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,H,271,3,3
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,Q,969,4,4
2,Three Back Task \n\n Press TARGET if current letter is same as the third previous letter\n\n,X,410,3,3
