TrialNumber,session_type,mean_accuracy,std_accuracy
1,Calming,0.8090909090909091,0.3948162862859094
1,Vexing,0.8727272727272727,0.3348035411640385
2,Calming,0.5272727272727272,0.5015405790764927
2,Vexing,0.6818181818181818,0.4679021732190242
3,Calming,0.5454545454545454,0.5002084636321551
3,Vexing,0.7818181818181819,0.4149017388218538
4,Calming,0.8727272727272727,0.3348035411640384
4,Vexing,0.6727272727272727,0.4713652026775481
5,Calming,0.6,0.4921400561449814
5,Vexing,0.8727272727272727,0.33480354116403843
6,Calming,0.7909090909090909,0.4085205921719538
6,Vexing,0.6818181818181818,0.4679021732190244
7,Calming,0.8545454545454545,0.35417208372118514
7,Vexing,0.8363636363636363,0.3716383940247039
8,Calming,0.6454545454545455,0.4805647220129348
8,Vexing,0.6363636363636364,0.48324728654174376
9,Calming,0.8272727272727273,0.3797413631922381
9,Vexing,0.7454545454545455,0.43759902965953407
10,Calming,0.8909090909090909,0.31318003572862446
10,Vexing,0.6818181818181818,0.46790217321902433
11,Calming,0.6454545454545455,0.4805647220129349
11,Vexing,0.8454545454545455,0.36312516194286243
12,Calming,0.7090909090909091,0.45626031812798323
12,Vexing,0.7,0.46035486910055284
13,Calming,0.8181818181818182,0.38745980985586703
13,Vexing,0.8818181818181818,0.3243007490172935
14,Calming,0.6272727272727273,0.4857433707063373
14,Vexing,0.0,0.0
15,Calming,0.9,0.30137300488496727
15,Vexing,0.8818181818181818,0.3243007490172935
