,TrialNumber,n_back,Stimulus_Letter,Response_Time,Correct_Response,Response,participant_id,correct,session_type
0,1,1-Back,L,0.0,3.0,,Subject11,0,Calming
1,1,1-Back,A,487.0,3.0,3.0,Subject11,1,Calming
2,1,1-Back,E,222.0,3.0,3.0,Subject11,1,Calming
3,1,1-Back,E,189.0,4.0,4.0,Subject11,1,Calming
4,1,1-Back,E,74.0,4.0,4.0,Subject11,1,Calming
5,1,1-Back,O,417.0,3.0,3.0,Subject11,1,Calming
6,1,1-Back,A,464.0,4.0,4.0,Subject11,1,Calming
7,1,1-Back,A,0.0,4.0,,Subject11,0,Calming
8,1,1-Back,H,785.0,3.0,3.0,Subject11,1,Calming
9,1,1-Back,J,477.0,3.0,3.0,Subject11,1,Calming
10,1,1-Back,D,358.0,3.0,3.0,Subject11,1,Calming
11,1,1-Back,B,302.0,3.0,3.0,Subject11,1,Calming
12,1,1-Back,L,138.0,3.0,4.0,Subject11,0,Calming
13,1,1-Back,V,427.0,3.0,3.0,Subject11,1,Calming
14,1,1-Back,V,343.0,4.0,3.0,Subject11,0,Calming
15,1,1-Back,N,697.0,3.0,3.0,Subject11,1,Calming
16,1,1-Back,V,666.0,3.0,3.0,Subject11,1,Calming
17,1,1-Back,L,763.0,3.0,3.0,Subject11,1,Calming
18,1,1-Back,A,166.0,3.0,3.0,Subject11,1,Calming
19,1,1-Back,E,116.0,3.0,3.0,Subject11,1,Calming
20,1,1-Back,J,35.0,3.0,3.0,Subject11,1,Calming
21,1,1-Back,S,5.0,3.0,3.0,Subject11,1,Calming
22,2,3-Back,P,0.0,3.0,,Subject11,0,Calming
23,2,3-Back,F,0.0,3.0,,Subject11,0,Calming
24,2,3-Back,Q,0.0,3.0,,Subject11,0,Calming
25,2,3-Back,C,171.0,3.0,4.0,Subject11,0,Calming
26,2,3-Back,N,235.0,3.0,3.0,Subject11,1,Calming
27,2,3-Back,P,338.0,3.0,3.0,Subject11,1,Calming
28,2,3-Back,C,0.0,4.0,,Subject11,0,Calming
29,2,3-Back,N,678.0,3.0,3.0,Subject11,1,Calming
30,2,3-Back,P,576.0,4.0,3.0,Subject11,0,Calming
31,2,3-Back,C,529.0,4.0,3.0,Subject11,0,Calming
32,2,3-Back,N,0.0,4.0,,Subject11,0,Calming
33,2,3-Back,V,904.0,3.0,3.0,Subject11,1,Calming
34,2,3-Back,Q,699.0,3.0,3.0,Subject11,1,Calming
35,2,3-Back,M,475.0,3.0,3.0,Subject11,1,Calming
36,2,3-Back,H,0.0,3.0,,Subject11,0,Calming
37,2,3-Back,Q,484.0,4.0,3.0,Subject11,0,Calming
38,2,3-Back,X,575.0,3.0,3.0,Subject11,1,Calming
39,2,3-Back,N,1033.0,3.0,3.0,Subject11,1,Calming
40,2,3-Back,Z,543.0,3.0,3.0,Subject11,1,Calming
41,2,3-Back,F,1413.0,3.0,4.0,Subject11,0,Calming
42,2,3-Back,C,0.0,3.0,,Subject11,0,Calming
43,2,3-Back,H,833.0,3.0,3.0,Subject11,1,Calming
44,3,3-Back,D,0.0,3.0,,Subject11,0,Calming
45,3,3-Back,X,0.0,3.0,,Subject11,0,Calming
46,3,3-Back,M,0.0,3.0,,Subject11,0,Calming
47,3,3-Back,I,1288.0,3.0,3.0,Subject11,1,Calming
48,3,3-Back,X,593.0,3.0,4.0,Subject11,0,Calming
49,3,3-Back,M,4.0,4.0,4.0,Subject11,1,Calming
50,3,3-Back,P,0.0,3.0,,Subject11,0,Calming
51,3,3-Back,S,0.0,3.0,,Subject11,0,Calming
52,3,3-Back,A,0.0,3.0,,Subject11,0,Calming
53,3,3-Back,N,536.0,3.0,4.0,Subject11,0,Calming
54,3,3-Back,W,361.0,3.0,3.0,Subject11,1,Calming
55,3,3-Back,V,229.0,3.0,3.0,Subject11,1,Calming
56,3,3-Back,A,0.0,3.0,,Subject11,0,Calming
57,3,3-Back,W,0.0,4.0,,Subject11,0,Calming
58,3,3-Back,B,0.0,3.0,,Subject11,0,Calming
59,3,3-Back,A,382.0,4.0,3.0,Subject11,0,Calming
60,3,3-Back,Y,1087.0,3.0,4.0,Subject11,0,Calming
61,3,3-Back,B,733.0,4.0,4.0,Subject11,1,Calming
62,3,3-Back,A,0.0,4.0,,Subject11,0,Calming
63,3,3-Back,R,0.0,3.0,,Subject11,0,Calming
64,3,3-Back,P,0.0,3.0,,Subject11,0,Calming
65,3,3-Back,C,326.0,3.0,3.0,Subject11,1,Calming
66,4,1-Back,V,0.0,3.0,,Subject11,0,Calming
67,4,1-Back,I,383.0,3.0,3.0,Subject11,1,Calming
68,4,1-Back,Q,0.0,3.0,,Subject11,0,Calming
69,4,1-Back,H,366.0,3.0,3.0,Subject11,1,Calming
70,4,1-Back,C,688.0,3.0,3.0,Subject11,1,Calming
71,4,1-Back,N,28.0,3.0,3.0,Subject11,1,Calming
72,4,1-Back,V,372.0,3.0,3.0,Subject11,1,Calming
73,4,1-Back,Y,193.0,3.0,3.0,Subject11,1,Calming
74,4,1-Back,Y,240.0,4.0,4.0,Subject11,1,Calming
75,4,1-Back,K,582.0,3.0,3.0,Subject11,1,Calming
76,4,1-Back,K,111.0,4.0,4.0,Subject11,1,Calming
77,4,1-Back,I,393.0,3.0,3.0,Subject11,1,Calming
78,4,1-Back,I,78.0,4.0,4.0,Subject11,1,Calming
79,4,1-Back,O,144.0,3.0,3.0,Subject11,1,Calming
80,4,1-Back,E,288.0,3.0,3.0,Subject11,1,Calming
81,4,1-Back,D,223.0,3.0,3.0,Subject11,1,Calming
82,4,1-Back,V,286.0,3.0,3.0,Subject11,1,Calming
83,4,1-Back,V,377.0,4.0,4.0,Subject11,1,Calming
84,4,1-Back,N,36.0,3.0,3.0,Subject11,1,Calming
85,4,1-Back,N,449.0,4.0,4.0,Subject11,1,Calming
86,4,1-Back,D,526.0,3.0,3.0,Subject11,1,Calming
87,4,1-Back,W,164.0,3.0,3.0,Subject11,1,Calming
88,5,3-Back,C,0.0,3.0,,Subject11,0,Calming
89,5,3-Back,B,0.0,3.0,,Subject11,0,Calming
90,5,3-Back,Q,0.0,3.0,,Subject11,0,Calming
91,5,3-Back,Y,464.0,3.0,3.0,Subject11,1,Calming
92,5,3-Back,R,863.0,3.0,3.0,Subject11,1,Calming
93,5,3-Back,I,200.0,3.0,3.0,Subject11,1,Calming
94,5,3-Back,Y,426.0,4.0,4.0,Subject11,1,Calming
95,5,3-Back,N,169.0,3.0,3.0,Subject11,1,Calming
96,5,3-Back,Y,1379.0,3.0,3.0,Subject11,1,Calming
97,5,3-Back,X,890.0,3.0,3.0,Subject11,1,Calming
98,5,3-Back,F,631.0,3.0,3.0,Subject11,1,Calming
99,5,3-Back,U,0.0,3.0,,Subject11,0,Calming
100,5,3-Back,H,323.0,4.0,3.0,Subject11,0,Calming
101,5,3-Back,U,358.0,3.0,3.0,Subject11,1,Calming
102,5,3-Back,U,381.0,3.0,4.0,Subject11,0,Calming
103,5,3-Back,H,0.0,4.0,,Subject11,0,Calming
104,5,3-Back,W,763.0,3.0,3.0,Subject11,1,Calming
105,5,3-Back,U,531.0,4.0,3.0,Subject11,0,Calming
106,5,3-Back,H,706.0,4.0,3.0,Subject11,0,Calming
107,5,3-Back,F,411.0,3.0,3.0,Subject11,1,Calming
108,5,3-Back,I,500.0,3.0,3.0,Subject11,1,Calming
109,5,3-Back,V,955.0,3.0,3.0,Subject11,1,Calming
110,6,1-Back,U,0.0,3.0,,Subject11,0,Calming
111,6,1-Back,R,492.0,3.0,3.0,Subject11,1,Calming
112,6,1-Back,O,41.0,3.0,3.0,Subject11,1,Calming
113,6,1-Back,P,30.0,3.0,3.0,Subject11,1,Calming
114,6,1-Back,P,231.0,4.0,4.0,Subject11,1,Calming
115,6,1-Back,P,495.0,4.0,4.0,Subject11,1,Calming
116,6,1-Back,U,585.0,3.0,3.0,Subject11,1,Calming
117,6,1-Back,Z,47.0,3.0,3.0,Subject11,1,Calming
118,6,1-Back,U,308.0,3.0,3.0,Subject11,1,Calming
119,6,1-Back,M,377.0,3.0,3.0,Subject11,1,Calming
120,6,1-Back,M,439.0,4.0,3.0,Subject11,0,Calming
121,6,1-Back,W,190.0,3.0,3.0,Subject11,1,Calming
122,6,1-Back,I,71.0,3.0,3.0,Subject11,1,Calming
