TrialNumber,Response_Time,participant_id,session_type
1,0.0,Subject3,Calming
1,1432.0,Subject3,Calming
1,825.0,Subject3,Calming
1,631.0,Subject3,Calming
1,531.0,Subject3,Calming
1,421.0,Subject3,Calming
1,849.0,Subject3,Calming
1,1141.0,Subject3,Calming
1,922.0,Subject3,Calming
1,387.0,Subject3,Calming
1,344.0,Subject3,Calming
1,473.0,Subject3,Calming
1,668.0,Subject3,Calming
1,290.0,Subject3,Calming
1,209.0,Subject3,Calming
1,282.0,Subject3,Calming
1,797.0,Subject3,Calming
1,426.0,Subject3,Calming
1,350.0,Subject3,Calming
1,290.0,Subject3,Calming
1,757.0,Subject3,Calming
1,392.0,Subject3,Calming
2,0.0,Subject3,Calming
2,0.0,Subject3,Calming
2,0.0,Subject3,Calming
2,442.0,Subject3,Calming
2,765.0,Subject3,Calming
2,1063.0,Subject3,Calming
2,0.0,Subject3,Calming
2,1147.0,Subject3,Calming
2,623.0,Subject3,Calming
2,462.0,Subject3,Calming
2,410.0,Subject3,Calming
2,0.0,Subject3,Calming
2,892.0,Subject3,Calming
2,544.0,Subject3,Calming
2,555.0,Subject3,Calming
2,325.0,Subject3,Calming
2,529.0,Subject3,Calming
2,822.0,Subject3,Calming
2,532.0,Subject3,Calming
2,457.0,Subject3,Calming
2,815.0,Subject3,Calming
2,356.0,Subject3,Calming
3,0.0,Subject3,Calming
3,0.0,Subject3,Calming
3,0.0,Subject3,Calming
3,289.0,Subject3,Calming
3,1378.0,Subject3,Calming
3,840.0,Subject3,Calming
3,629.0,Subject3,Calming
3,560.0,Subject3,Calming
3,876.0,Subject3,Calming
3,759.0,Subject3,Calming
3,191.0,Subject3,Calming
3,552.0,Subject3,Calming
3,465.0,Subject3,Calming
3,381.0,Subject3,Calming
3,163.0,Subject3,Calming
3,301.0,Subject3,Calming
3,271.0,Subject3,Calming
3,322.0,Subject3,Calming
3,519.0,Subject3,Calming
3,477.0,Subject3,Calming
3,998.0,Subject3,Calming
3,859.0,Subject3,Calming
4,0.0,Subject3,Calming
4,198.0,Subject3,Calming
4,293.0,Subject3,Calming
4,112.0,Subject3,Calming
4,97.0,Subject3,Calming
4,127.0,Subject3,Calming
4,389.0,Subject3,Calming
4,333.0,Subject3,Calming
4,267.0,Subject3,Calming
4,275.0,Subject3,Calming
4,336.0,Subject3,Calming
4,472.0,Subject3,Calming
4,202.0,Subject3,Calming
4,433.0,Subject3,Calming
4,647.0,Subject3,Calming
4,369.0,Subject3,Calming
4,298.0,Subject3,Calming
4,665.0,Subject3,Calming
4,376.0,Subject3,Calming
4,264.0,Subject3,Calming
4,259.0,Subject3,Calming
4,385.0,Subject3,Calming
5,0.0,Subject3,Calming
5,0.0,Subject3,Calming
5,0.0,Subject3,Calming
5,206.0,Subject3,Calming
5,601.0,Subject3,Calming
5,674.0,Subject3,Calming
5,793.0,Subject3,Calming
5,1194.0,Subject3,Calming
5,935.0,Subject3,Calming
5,359.0,Subject3,Calming
5,822.0,Subject3,Calming
5,650.0,Subject3,Calming
5,765.0,Subject3,Calming
5,942.0,Subject3,Calming
5,507.0,Subject3,Calming
5,819.0,Subject3,Calming
5,1092.0,Subject3,Calming
5,1160.0,Subject3,Calming
5,1007.0,Subject3,Calming
5,527.0,Subject3,Calming
5,624.0,Subject3,Calming
5,774.0,Subject3,Calming
6,0.0,Subject3,Calming
6,216.0,Subject3,Calming
6,155.0,Subject3,Calming
6,158.0,Subject3,Calming
6,284.0,Subject3,Calming
6,200.0,Subject3,Calming
6,245.0,Subject3,Calming
6,195.0,Subject3,Calming
6,457.0,Subject3,Calming
6,712.0,Subject3,Calming
6,287.0,Subject3,Calming
6,130.0,Subject3,Calming
6,311.0,Subject3,Calming
6,510.0,Subject3,Calming
6,562.0,Subject3,Calming
6,157.0,Subject3,Calming
6,285.0,Subject3,Calming
6,654.0,Subject3,Calming
6,768.0,Subject3,Calming
6,210.0,Subject3,Calming
6,335.0,Subject3,Calming
6,358.0,Subject3,Calming
7,0.0,Subject3,Calming
7,80.0,Subject3,Calming
7,283.0,Subject3,Calming
7,230.0,Subject3,Calming
7,204.0,Subject3,Calming
7,159.0,Subject3,Calming
7,204.0,Subject3,Calming
7,221.0,Subject3,Calming
7,47.0,Subject3,Calming
7,326.0,Subject3,Calming
7,3.0,Subject3,Calming
7,688.0,Subject3,Calming
7,221.0,Subject3,Calming
7,71.0,Subject3,Calming
7,0.0,Subject3,Calming
7,50.0,Subject3,Calming
7,660.0,Subject3,Calming
7,325.0,Subject3,Calming
7,403.0,Subject3,Calming
7,313.0,Subject3,Calming
7,247.0,Subject3,Calming
7,75.0,Subject3,Calming
8,0.0,Subject3,Calming
8,0.0,Subject3,Calming
8,0.0,Subject3,Calming
8,0.0,Subject3,Calming
8,460.0,Subject3,Calming
8,637.0,Subject3,Calming
8,1036.0,Subject3,Calming
8,769.0,Subject3,Calming
8,497.0,Subject3,Calming
8,716.0,Subject3,Calming
8,457.0,Subject3,Calming
8,686.0,Subject3,Calming
8,403.0,Subject3,Calming
8,430.0,Subject3,Calming
8,1003.0,Subject3,Calming
8,433.0,Subject3,Calming
8,420.0,Subject3,Calming
8,541.0,Subject3,Calming
8,470.0,Subject3,Calming
8,326.0,Subject3,Calming
8,521.0,Subject3,Calming
8,597.0,Subject3,Calming
9,0.0,Subject3,Calming
9,0.0,Subject3,Calming
9,0.0,Subject3,Calming
9,212.0,Subject3,Calming
9,493.0,Subject3,Calming
9,611.0,Subject3,Calming
9,422.0,Subject3,Calming
9,232.0,Subject3,Calming
9,587.0,Subject3,Calming
9,360.0,Subject3,Calming
9,458.0,Subject3,Calming
9,816.0,Subject3,Calming
9,1067.0,Subject3,Calming
9,824.0,Subject3,Calming
9,196.0,Subject3,Calming
9,823.0,Subject3,Calming
9,1068.0,Subject3,Calming
9,817.0,Subject3,Calming
9,1186.0,Subject3,Calming
9,539.0,Subject3,Calming
9,727.0,Subject3,Calming
9,840.0,Subject3,Calming
10,0.0,Subject3,Calming
10,2.0,Subject3,Calming
10,166.0,Subject3,Calming
10,285.0,Subject3,Calming
10,57.0,Subject3,Calming
10,625.0,Subject3,Calming
10,250.0,Subject3,Calming
10,229.0,Subject3,Calming
10,304.0,Subject3,Calming
10,1034.0,Subject3,Calming
10,238.0,Subject3,Calming
10,806.0,Subject3,Calming
10,643.0,Subject3,Calming
10,526.0,Subject3,Calming
10,556.0,Subject3,Calming
10,423.0,Subject3,Calming
10,232.0,Subject3,Calming
10,174.0,Subject3,Calming
10,328.0,Subject3,Calming
10,314.0,Subject3,Calming
10,213.0,Subject3,Calming
10,62.0,Subject3,Calming
11,0.0,Subject3,Calming
11,207.0,Subject3,Calming
