calming_1_back_start,calming_3_back_start,calming_1_back_end,calming_3_back_end,vexing_1_back_start,vexing_3_back_start,vexing_1_back_end,vexing_3_back_end
669.398,729.792,669.898,730.3255,1793.403,1853.913,1793.9195,1854.446
671.4145,731.942,671.9145,732.4755,1795.5365,1856.0465,1796.069,1856.5965
673.4645,734.108,673.981,734.657,1797.6395,1858.1955,1798.1705,1858.729
675.4975,736.2395,676.014,736.773,1799.703,1860.2775,1800.2365,1860.8115
677.5305,738.3065,678.064,738.84,1801.753,1862.3445,1802.2855,1862.878
679.597,740.373,680.047,740.9065,1803.82,1864.411,1804.3525,1864.944
681.6135,742.4565,682.1135,742.9895,1805.8865,1866.4775,1806.4185,1867.0105
683.7145,744.573,684.248,745.1065,1807.952,1868.5445,1808.4015,1869.061
685.8635,746.64,686.3975,747.1725,1809.986,1870.594,1810.5175,1871.1105
687.93,748.706,688.4795,749.2385,1812.035,1872.643,1812.5685,1873.177
690.097,750.772,690.497,751.3045,1814.117,1874.7105,1814.6505,1875.2435
692.079,752.9225,692.613,753.455,1816.1835,1876.776,1816.718,1877.2935
694.147,754.9885,694.6805,755.5215,1818.2495,1878.809,1818.7835,1879.326
696.2125,757.055,696.7465,757.589,1820.317,1880.842,1820.8505,1881.375
698.278,759.121,698.695,759.6535,1822.367,1882.909,1822.899,1883.4255
700.3295,761.2885,700.862,761.837,1824.4155,1885.0255,1824.9165,1885.5415
702.394,763.3705,702.928,763.9035,1826.483,1887.075,1827.0165,1887.61
704.462,765.438,704.995,765.9705,1828.5515,1889.142,1829.0825,1889.658
706.5115,767.503,707.027,768.036,1830.616,1891.192,1831.1495,1891.7245
708.561,769.552,709.0945,770.0685,1832.6825,1893.241,1833.215,1893.741
710.6445,771.585,711.178,772.1015,1834.8325,1895.3425,1835.3645,1895.857
712.7115,773.6345,713.2445,774.151,1836.8815,1897.3905,1837.3145,1897.924
851.6265,790.717,852.159,791.2325,1914.4715,1974.996,1914.988,1975.5295
853.7755,792.8335,854.3095,793.3665,1916.571,1977.096,1917.1055,1977.629
855.841,794.966,856.374,795.5005,1918.6205,1979.2465,1919.1365,1979.779
857.9755,797.117,858.3745,797.6495,1920.737,1981.3965,1921.2705,1981.9455
859.892,799.182,860.425,799.698,1922.804,1983.495,1923.337,1984.0295
861.9565,801.2315,862.4735,801.7655,1924.9365,1985.5615,1925.47,1986.095
864.007,803.298,864.5395,803.8325,1927.0035,1987.645,1927.537,1988.178
866.0565,805.4475,866.5735,805.964,1929.0695,1989.7125,1929.603,1990.2455
868.09,807.5815,868.6225,808.0975,1931.136,1991.7785,1931.67,1992.311
870.1395,809.681,870.656,810.2145,1933.3025,1993.8445,1933.8195,1994.394
872.173,811.731,872.689,812.263,1935.4695,1995.9445,1935.902,1996.4935
874.2225,813.7795,874.7395,814.2975,1937.5015,1998.028,1938.019,1998.577
876.256,815.8295,876.7715,816.363,1939.5175,2000.1765,1940.0355,2000.2945
