calming_1_back_start,calming_3_back_start,calming_1_back_end,calming_3_back_end,vexing_1_back_start,vexing_3_back_start,vexing_1_back_end,vexing_3_back_end
425.2005,484.711,425.734,485.2425,1519.2715,1576.4805,1519.771,1576.9805
427.3325,486.8755,427.8165,487.4085,1521.2875,1578.497,1521.5545,1579.0485
429.348,489.025,429.7815,489.558,1523.071,1580.681,1523.321,1581.2315
431.3145,491.141,431.831,491.458,1524.837,1582.8475,1525.204,1583.213
433.3475,492.973,433.831,493.473,1526.7205,1584.813,1527.0705,1585.263
435.364,494.9895,435.8305,495.4895,1528.638,1586.897,1528.989,1587.43
437.364,496.9895,437.8805,497.3395,1530.621,1588.963,1530.8545,1589.4955
439.4145,498.856,439.915,499.39,1532.4875,1591.047,1532.787,1591.4795
441.5145,500.924,442.065,501.3555,1534.3875,1593.096,1534.621,1593.463
443.5975,502.9385,444.131,503.455,1536.288,1595.063,1536.687,1595.595
445.7635,505.0395,446.114,505.3385,1538.303,1597.146,1538.5865,1597.529
447.6795,507.0065,448.1965,507.5385,1540.153,1599.0955,1540.5685,1599.4445
449.7635,509.1895,450.229,509.6735,1542.119,1601.011,1542.4865,1601.544
451.812,511.3225,452.1955,511.5895,1544.0515,1603.23,1544.3525,1603.7615
453.8125,513.2215,454.2785,513.7385,1545.935,1605.2935,1546.285,1605.844
455.9125,515.3715,456.4125,515.905,1547.9015,1607.3935,1548.169,1607.811
458.046,517.4385,458.5285,517.971,1549.7855,1609.41,1550.134,1609.8265
460.061,519.5375,460.544,519.8055,1551.7015,1611.427,1552.017,1611.8925
462.0775,521.3195,462.4605,521.8195,1553.635,1613.4935,1553.9515,1614.0255
463.9935,523.336,464.4105,523.686,1555.55,1615.559,1555.8835,1616.093
465.9435,525.2025,466.3265,525.5355,1557.5345,1617.6435,1557.9515,1617.993
467.8435,527.052,468.093,527.552,1559.601,1619.66,1559.951,1620.0415
605.0755,544.0835,605.6095,544.6175,1636.6405,1694.9985,1637.1905,1695.533
607.1915,546.2675,607.542,546.817,1638.8575,1697.0815,1639.407,1697.615
609.1925,548.4,609.509,548.9325,1641.0735,1699.1655,1641.34,1699.699
611.1255,550.5335,611.342,551.016,1642.99,1701.2985,1643.407,1701.6485
612.924,552.6665,613.1575,553.217,1645.023,1703.283,1645.406,1703.682
614.7405,554.7655,614.9585,555.315,1647.073,1705.299,1647.3565,1705.698
616.558,556.866,616.7735,557.416,1648.9895,1707.314,1649.289,1707.647
618.3405,558.948,618.7565,559.4815,1650.9555,1709.23,1651.3395,1709.681
620.323,561.081,620.6575,561.632,1652.989,1711.2465,1653.272,1711.763
622.3415,563.1475,622.6905,563.564,1654.871,1713.2965,1655.2055,1713.8305
624.324,565.164,624.823,565.6805,1656.7365,1715.379,1657.02,1715.9305
626.5075,567.298,626.7735,567.848,1658.553,1717.4635,1658.8865,1717.9965
628.3895,569.463,628.806,569.93,1660.538,1719.647,1660.855,1720.18
630.406,571.513,630.7555,572.0465,1662.521,1721.7965,1662.854,1722.331
632.373,573.58,632.855,574.1135,1664.5035,1723.9795,1664.7705,1724.513
634.456,575.647,634.821,576.1965,1666.387,1726.129,1666.753,1726.529
636.439,577.7465,636.7885,578.147,1668.3185,1728.213,1668.702,1728.7295
638.4375,579.797,638.706,580.346,1670.302,1730.294,1670.5355,1730.6435
640.254,581.914,640.638,582.1795,1672.136,1732.1765,1672.5185,1732.46
642.2035,583.7955,642.487,584.278,1674.1185,1733.993,1674.485,1734.46
644.071,585.9515,644.42,586.3955,1676.069,1735.993,1676.4845,1736.5095
646.02,588.0785,646.3865,588.4785,1678.1005,1738.0425,1678.3855,1738.4425
723.2775,663.0005,723.8105,663.517,1755.0075,1813.4685,1755.5255,1813.984
725.4095,665.0505,725.76,665.567,1757.0905,1815.4995,1757.4405,1815.999
727.3925,667.1,727.7935,667.6165,1759.0075,1817.5155,1759.407,1818.0155
729.4095,669.15,729.642,669.4995,1761.075,1819.532,1761.525,1820.032
731.175,671.101,731.4085,671.618,1763.158,1821.5665,1763.491,1822.1
732.9245,673.2175,733.3915,673.6,1765.1575,1823.633,1765.541,1824.166
734.908,675.2335,735.1575,675.7835,1767.14,1825.6825,1767.4565,1826.2155
736.6745,677.3505,737.041,677.8325,1769.022,1827.748,1769.372,1828.1485
738.5575,679.4375,738.8075,680.015,1770.9385,1829.6975,1771.3885,1830.215
740.324,681.5665,740.607,682.117,1772.973,1831.781,1773.3555,1832.2805
742.1745,683.6495,742.541,684.1155,1774.9225,1833.898,1775.3045,1834.297
744.09,685.748,744.3235,686.2485,1776.9375,1835.8635,1777.2725,1836.247
745.924,687.899,746.2065,688.4485,1778.889,1837.8975,1779.205,1838.381
747.8075,690.0975,748.157,690.5315,1780.7715,1839.9975,1781.071,1840.547
749.774,692.08,750.174,692.4635,1782.6885,1842.1125,1783.0385,1842.596
751.79,693.9965,752.139,694.38,1784.6035,1844.2465,1785.1205,1844.779
753.7235,695.913,753.9895,696.346,1786.6365,1846.38,1787.02,1846.913
755.555,697.8795,756.005,698.396,1788.6555,1848.4625,1788.9695,1848.9135
757.5555,699.9125,757.8055,700.4125,1790.586,1850.5795,1791.104,1850.8625
759.456,702.0305,759.756,702.5125,1792.654,1852.496,1792.987,1853.013
761.389,704.112,761.589,704.646,1794.6535,1854.661,1794.97,1855.194
763.256,706.179,763.5725,706.7125,1796.586,1856.7285,1796.8685,1857.2615
780.136,838.611,780.6695,839.1275,1873.8415,1931.518,1874.358,1932.0505
