Video analysis state log

Face Model:	General
Frame rate:	23.98

Video Time	Emotion
00:00:00.000	Unknown
00:00:01.918	Sad
00:00:20.812	Unknown
00:00:27.193	Sad
00:03:41.804	Unknown
00:03:45.516	Sad
00:03:49.604	Neutral
00:03:52.398	Sad
00:05:34.208	Unknown
00:05:35.877	Sad
00:08:30.468	Unknown
00:08:31.010	Sad
00:08:35.014	Unknown
00:09:52.883	Neutral
00:09:57.346	Unknown
00:09:59.807	Sad
00:10:01.225	Neutral
00:10:05.521	Unknown
00:10:08.691	Sad
00:10:10.484	Neutral
00:10:11.611	Unknown
00:10:16.115	Neutral
00:10:22.121	Unknown
00:10:40.640	Neutral
00:10:43.309	Unknown
00:11:42.785	Sad
00:11:44.578	Unknown
00:11:54.338	Sad
00:11:55.923	Unknown
00:12:29.540	Neutral
00:12:32.042	Sad
00:12:32.918	Unknown
00:12:34.086	Neutral
00:12:40.342	Sad
00:12:43.345	Neutral
00:12:43.888	Sad
00:12:45.931	Unknown
00:12:55.441	Sad
00:12:56.400	Unknown
00:12:58.819	Sad
00:13:01.614	Unknown
00:13:02.448	Neutral
00:13:05.910	Unknown
00:13:09.538	Neutral
00:13:12.708	Unknown
00:13:16.337	Neutral
00:13:21.634	Unknown
00:13:25.304	Sad
00:13:26.138	Unknown
00:13:26.847	Sad
00:13:37.149	Neutral
00:13:37.775	Unknown
00:13:38.692	Sad
00:13:41.445	Neutral
00:13:44.615	Sad
00:13:45.199	Unknown
00:14:40.838	Neutral
00:14:42.006	Unknown
00:14:43.591	Sad
00:14:44.883	Unknown
00:14:46.343	Neutral
00:14:47.177	Sad
00:14:48.178	Neutral
00:14:48.929	Sad
00:14:51.098	Neutral
00:14:52.266	Sad
00:14:54.059	Unknown
00:15:08.907	Sad
00:15:13.954	Unknown
00:15:34.350	Sad
00:15:35.100	Unknown
00:15:43.442	Sad
00:15:44.610	Unknown
00:15:54.954	Sad
00:16:03.921	END
