participant,trial,condition,mean_eda,mean_ohb,accuracy,mean_rt
3F,1,Calming 1-back,7.537034864501910292e+00,8.164040837951368895e-03,8.636363636363636465e-01,5.644090909090908781e+02
3F,2,Calming 3-back,7.053329207367339926e+00,3.206605567461078086e-03,6.818181818181817677e-01,4.881363636363636260e+02
3F,3,Calming 3-back,6.492471525496681828e+00,-4.431365685780780730e-04,7.272727272727272929e-01,4.922727272727272521e+02
3F,4,Calming 1-back,6.135949251891669398e+00,-3.385170145239393817e-04,9.545454545454545858e-01,3.089545454545454390e+02
3F,5,Calming 3-back,5.944514298986098844e+00,3.003693319601824160e-04,6.818181818181817677e-01,6.568636363636363740e+02
3F,6,Calming 1-back,5.878955405700118320e+00,-2.864230162804877190e-05,8.181818181818182323e-01,3.267727272727272521e+02
3F,7,Calming 1-back,5.820439139265645601e+00,-1.687607453149700366e-04,8.181818181818182323e-01,2.186363636363636260e+02
3F,8,Calming 3-back,5.745482034331175214e+00,7.698959602964065895e-06,6.363636363636363535e-01,4.728181818181818130e+02
3F,9,Calming 3-back,5.709342885837870085e+00,3.459859896575758213e-04,5.909090909090909394e-01,5.580909090909091219e+02
3F,10,Calming 1-back,5.648839609972223563e+00,1.364864582304878228e-04,8.636363636363636465e-01,3.394090909090909349e+02
3F,11,Calming 1-back,5.577286999853138028e+00,8.244925387387387801e-05,9.090909090909090606e-01,2.794545454545454390e+02
3F,12,Calming 3-back,5.406823247923381537e+00,2.208994204036144682e-04,5.909090909090909394e-01,5.061363636363636260e+02
3F,13,Calming 3-back,5.560802959420158231e+00,-5.727372775451805114e-05,7.727272727272727071e-01,5.576818181818181301e+02
3F,14,Calming 1-back,5.327335695743068200e+00,-1.279703921250609742e-04,7.727272727272727071e-01,4.278636363636363740e+02
3F,15,Calming 3-back,5.502235846157296884e+00,2.768519213936607463e-04,6.818181818181817677e-01,3.960454545454545610e+02
3F,16,Calming 1-back,5.180655002900396155e+00,5.429916473516615801e-04,8.636363636363636465e-01,2.990000000000000000e+02
3F,17,Vexing 1-back,6.525453045062167945e+00,8.863653167267268379e-04,9.090909090909090606e-01,2.922272727272727479e+02
3F,18,Vexing 3-back,6.014119525952936307e+00,8.165071694083686884e-04,7.272727272727272929e-01,6.170454545454545041e+02
